idx,feature,value,lab,favorite_pred,retweet_pred,favorite_count,retweet_count,favorite_sign,retweet_sign,favorite_shap_value,retweet_shap_value,text
2,wday_y1,0.3568958678922095,"1st Order Cos Term, Weekday",54.198342318119764,12.80478153744298,297,55,pos,pos,0.0028164112009108067,0.014475787989795208,⭐️ Chelsea (1.02) 0-2 (0.64) Man United
2,wday_y2,0.2774790660436856,"2nd Order Cos Term, Weekday",54.198342318119764,12.80478153744298,297,55,neutral,pos,0,0.007635640446096659,⭐️ Chelsea (1.02) 0-2 (0.64) Man United
2,xg_a,0.11449016100178891,"xG, Away",54.198342318119764,12.80478153744298,297,55,pos,pos,0.08304110169410706,0.12277224659919739,⭐️ Chelsea (1.02) 0-2 (0.64) Man United
2,xg_h,0.15408320493066255,"xG, Home",54.198342318119764,12.80478153744298,297,55,neg,neg,-0.09169046580791473,-0.031057430431246758,⭐️ Chelsea (1.02) 0-2 (0.64) Man United
3,estimated_followers_count,0.04677448788722113,xGPhilopher's # of Followers,31.50327602946878,2.0670946876681695,22,2,neg,neg,-2.9542300701141357,-2.0961427688598633,⭐️ Chelsea (1.70) 2-1 (0.27) Spurs
3,estimated_followers_count_a,0.14390275109884965,"Twitter Account Followers, Away",31.50327602946878,2.0670946876681695,22,2,pos,neg,0.07692967355251312,-0.0373440757393837,⭐️ Chelsea (1.70) 2-1 (0.27) Spurs
3,estimated_followers_count_h,0.42454937119270547,"Twitter Account Followers, Home",31.50327602946878,2.0670946876681695,22,2,pos,pos,0.19278734922409058,0.13472343981266022,⭐️ Chelsea (1.70) 2-1 (0.27) Spurs
3,g_a,0.125,"Goals, Away",31.50327602946878,2.0670946876681695,22,2,pos,neg,0.0013846596702933311,-0.01236182264983654,⭐️ Chelsea (1.70) 2-1 (0.27) Spurs
3,g_h,0.2,"Goals, Home",31.50327602946878,2.0670946876681695,22,2,pos,neg,0.0018565056379884481,-0.02563367784023285,⭐️ Chelsea (1.70) 2-1 (0.27) Spurs
3,hour_x1,0.15696100289923362,"1st Order Sin Term, Hour",31.50327602946878,2.0670946876681695,22,2,pos,pos,0.05334731191396713,0.08180844783782959,⭐️ Chelsea (1.70) 2-1 (0.27) Spurs
3,hour_x2,1,"2nd Order Sin Term, Hour",31.50327602946878,2.0670946876681695,22,2,neg,neg,-0.10916030406951904,-0.3091840445995331,⭐️ Chelsea (1.70) 2-1 (0.27) Spurs
3,hour_y1,0.14898487770839494,"1st Order Cos Term, Hour",31.50327602946878,2.0670946876681695,22,2,neg,pos,-0.025401392951607704,0.08225660026073456,⭐️ Chelsea (1.70) 2-1 (0.27) Spurs
